EventID , Time , Latitude , Longitude , Depth/km , Author , Catalog , Contributor , ContributorID , MagType , Magnitude , MagAuthor , EventLocationName
11222434,2020-04-29T08:17:48,-4.5219,102.5046,56.38,us,NEIC PDE,us,us60009ejp,mb,4.8,us,"SOUTHERN SUMATRA, INDONESIA"
11240448,2020-05-19T01:06:40,-4.6611,103.5046,59.44,us,NEIC PDE,us,us6000a014,mb,4.7,us,"SOUTHERN SUMATRA, INDONESIA"
11236372,2020-05-22T22:36:52,-2.4966,99.5207,10,us,NEIC PDE,us,us70009nuc,mb,5.1,us,"SOUTHERN SUMATRA, INDONESIA"
11246482,2020-05-27T15:47:26,-5.8434,102.9038,23.78,us,NEIC PDE,us,us6000a5uh,mb,4.5,us,"SOUTHERN SUMATRA, INDONESIA"
11240434,2020-05-28T01:40:33,-5.904,102.8051,10.02,us,NEIC PDE,us,us6000a0p6,mb,4.7,us,"SOUTHERN SUMATRA, INDONESIA"
11247693,2020-05-30T02:00:27,-4.0064,101.1986,35,us,NEIC PDE,us,us6000a6gi,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
11252438,2020-06-07T15:52:26,-4.253,101.8177,42.01,us,NEIC PDE,us,us6000aaqs,mb,4.4,us,"SOUTHERN SUMATRA, INDONESIA"
11249710,2020-06-10T04:35:19,-2.5659,101.156,45.79,us,NEIC PDE,us,us6000a93q,Mww,5.1,us,"SOUTHERN SUMATRA, INDONESIA"
11269111,2020-06-16T11:07:44,-1.3661,100.5071,78.51,us,NEIC PDE,us,us6000ah74,mb,4.6,us,"SOUTHERN SUMATRA, INDONESIA"
11253991,2020-06-17T01:40:29,-0.6165,99.178,51.37,us,NEIC PDE,us,us6000ad7w,mb,4.8,us,"SOUTHERN SUMATRA, INDONESIA"
11266919,2020-06-19T05:34:47,-4.6264,103.3017,137.53,us,NEIC PDE,us,us7000aba0,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
